Rank,Name,Rating,Release_year
16012,Osomatsu-san (2023),,2023
16030,Dr. Stone (2023),,2023
17543,Pleasant Goat and Big Big Wolf Movie 8,,2023
18303,MF Ghost,,2023
7,Attack on Titan The Final Season: Part II,4.56,2022
242,My Dress-Up Darling,4.24,2022
251,Sasaki and Miyano,4.23,2022
448,Teasing Master Takagi-san 3,4.14,2022
463,The Case Study of Vanitas: Part II,4.13,2022
659,Arifureta: From Commonplace to World's Strongest 2nd Season,4.07,2022
1020,How a Realist Hero Rebuilt the Kingdom: Part II,3.97,2022
1836,Sabikui Bisco,3.81,2022
1947,Princess Connect! Re: Dive Season 2,3.80,2022
1996,In the Land of Leadale,3.79,2022
2431,Love of Kill,3.73,2022
2666,The Genius Prince's Guide To Raising a Nation Out of Debt,3.71,2022
2696,The Strongest Sage with the Weakest Crest,3.70,2022
2749,Tokyo 24th Ward,3.70,2022
3102,Akebi's Sailor Uniform,3.66,2022
3367,Saiyuki Reload: Zeroin,3.63,2022
3763,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout,3.60,2022
4304,Slow Loop,3.56,2022
4506,Tribe Nine,3.54,2022
4508,Yamishibai: Japanese Ghost Stories 10th Season,3.54,2022
4537,Tensei Shoya kara Musabori H: Ouji no Honmei wa Akuyaku Reijou,3.54,2022
4898,World's End Harem,3.51,2022
5213,Police in a Pod,3.49,2022
6034,Irodorimidori,3.45,2022
6213,Cue!,3.44,2022
6334,Futsal Boys!!!!!,3.43,2022
6655,"""Anata wo Hitokoto de Arawashite Kudasai"" no Shitsumon ga Nigate da",3.41,2022
6781,The Case Study of Vanitas Recap,3.41,2022
7745,Orient,3.35,2022
8537,Requiem of the Rose King,3.31,2022
9182,Miss Kuroitsu From the Monster Development Department,3.28,2022
9909,Girls' Frontline,3.23,2022
10817,She Professed Herself Pupil of the Wise Man,3.17,2022
11515,I’m Kodama Kawashiri,3.13,2022
12911,Fantasia Sango: Realm of Legends,3.00,2022
14662,Rusted Armors,2.67,2022
15378,Black Rock Shooter: Dawn Fall,,2022
15389,My Daughter is a Zombie,,2022
15399,AMAIM Warrior at the Borderline: Part II,,2022
15404,In/Spectre 2nd Season,,2022
15405,Shikimori's Not Just a Cutie,,2022
15473,BanG Dream! Movie: Poppin' Dream!,,2022
15487,My Hero Academia 6,,2022
15488,Tales of Luminaria: The Fateful Crossroad,,2022
15495,The Prince of Tennis II: U-17 World Cup,,2022
15548,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,,2022
15575,Bing Zhu Qi Hun,,2022
15583,Bocchi the Rock!,,2022
15598,Shadowverse Flame,,2022
15620,"The Girl From the Other Side: Siuil, a Run (2022)",,2022
15629,Shadows House 2nd Season,,2022
15639,Bai Yao Pu 3rd Season,,2022
15643,Lycoris Recoil,,2022
15644,My song,,2022
15661,Re:cycle of the Penguindrum Part II,,2022
15662,Uchuu Camper Chicchi,,2022
15677,Megaton Musashi 2nd Season,,2022
15688,Dropkick on My Devil! X,,2022
15720,Utawarerumono: Mask of Truth,,2022
15731,Rock'n Oyone,,2022
15743,Tomodachi Game,,2022
15747,Yowamushi Pedal: Limit Break,,2022
15785,Oshiri Tantei Movie 4: Shiriarty,,2022
15789,Rent-A-Girlfriend 2,,2022
15799,Tenjin,,2022
15820,Technoroid,,2022
15824,IDOLiSH7: Third BEAT - Part II,,2022
15870,"Kono Healer, Mendokusai",,2022
15873,Shin Ikkitousen,,2022
15876,Mobile Suit Gundam: Suisei no Majo,,2022
15877,Cardfight!! Vanguard: overDress 3rd Season,,2022
15901,Thermae Romae Novae,,2022
15991,Ya Boy Kongming!,,2022
16042,Fuuto PI,,2022
16050,Uchi no Shishou wa Shippo ga Nai,,2022
16098,Xing Hai Qishi: Part III,,2022
16111,Rilakkuma's Theme Park Adventure,,2022
16114,Summer Time Rendering,,2022
16118,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,,2022
16124,Shine Post,,2022
16150,Jintian Kaishi Zuo Mingxing 2nd Season,,2022
16169,Yu-Gi-Oh! GORUSH!!,,2022
16170,Teppen—!!!!!!!!!!!!!!!,,2022
16172,The Rising of the Shield Hero 2nd Season,,2022
16190,Osomatsu-san (2022),,2022
16206,The Deer King,,2022
16210,Bleach: Sennen Kessen-hen,,2022
16252,Tokyo Mew Mew New,,2022
16299,Drifting Home,,2022
16301,The Orbital Children Movie 2,,2022
16310,Rhapsody,,2022
16343,Pop Team Epic 2nd Season,,2022
16354,Ghost in the Shell: SAC_2045 Season 2,,2022
16356,Doraemon Movie 41: Nobita's Little Space War 2021,,2022
16362,Exception,,2022
16364,Kirakira Kirari☆,,2022
16368,I’m Quitting Heroing,,2022
16371,Motto! Majime ni Fumajime Kaiketsu Zorori 3,,2022
16382,The Orbital Children Movie 1,,2022
16395,Idol Land PriPara,,2022
16397,A Couple of Cuckoos,,2022
16405,"Goodbye, Don Glees!",,2022
16412,Shaonian Gexing 2nd Season: Part II,,2022
16413,SD Gundam World Heroes: The Legend of Dragon Knight,,2022
16415,Baby-Hamitang,,2022
16424,Shenmue the Animation,,2022
16440,Fruits Basket: Prelude,,2022
16450,Urusei Yatsura (2022),,2022
16465,Chainsaw Man,,2022
16479,Birdie Wing: Golf Girls' Story,,2022
16513,Hanabi-chan wa Okuregachi,,2022
16516,Petit Seka,,2022
16539,Dance Dance Danseur,,2022
16552,Mobile Suit Gundam: Cucuruz Doan's Island,,2022
16583,Free! Movie: The Final Stroke - Kouhen,,2022
16590,Shoot! Goal to the Future,,2022
16619,Kaitou Queen wa Circus ga Osuki,,2022
16625,Jantama Pong,,2022
16628,Laid-Back Camp Movie,,2022
16671,Mobius Dust,,2022
16685,Encouragement of Climb: Next Summit,,2022
16686,Deaimon,,2022
16688,Build Divide 2,,2022
16719,VazzRock the Animation,,2022
16720,The Eminence in Shadow,,2022
16722,Zuoshou Shanglan,,2022
16728,Call of the Night,,2022
16730,Princess Principal: Crown Handler - Chapter 2: Revealing Reviews,,2022
16750,Hell's Paradise: Jigokuraku,,2022
16753,Uta no Prince-sama: Maji Love Starish Tours,,2022
16758,Otoboku: Maidens Are Falling For Me! Trinkle Stars The Animation,,2022
16762,Kakegurui Twin,,2022
16764,Yatogame-chan Kansatsu Nikki 4,,2022
16765,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,,2022
16789,Non Non Biyori Nonstop OVA,,2022
16796,Blue Giant,,2022
16845,Cyberpunk: Edgerunners,,2022
16869,Insect Land,,2022
16917,Isekai Quartet: Another World,,2022
16921,The King of Fighters: Awaken,,2022
16924,Argonavis from BanG Dream! Movie,,2022
16929,Strike the Blood Final,,2022
16940,Sore Ike! Anpanman: Dororin to Bakeru Carnival,,2022
16976,Aoki Uru,,2022
16986,The Executioner and Her Way of Life,,2022
16987,WATATEN! an Angel Flew Down to Me: Precious Friends,,2022
16995,Big Fish & Begonia 2,,2022
16997,Cherry and Virgin,,2022
17009,Suzume no Tojimari,,2022
17045,"The Tunnel to Summer, the Exit of Goodbye",,2022
17068,Eien no 831,,2022
17108,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi - Part II,,2022
17112,Bubble,,2022
17121,Dragon Ball Super: Super Hero,,2022
17140,"Tensei Kenja no Isekai Life: Dai Ni no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",,2022
17141,The Greatest Demon Lord Is Reborn as a Typical Nobody,,2022
17145,Healer Girl,,2022
17149,Xingchen Bian 4th Season,,2022
17170,The Devil is a Part-Timer! 2,,2022
17179,Uncle from Another World,,2022
17193,Tiger & Bunny 2,,2022
